Country Name,Diabetes Rate,Inactivity Rate,che_gdp,Diabetes Mortality Rate
Romania,6.542216854,36.756824,6.5,6.542216854
Russian Federation,8.088462965,18.106434,7.4,8.088462965
San Marino,,25.663128,8.0,
Serbia,22.5846554,44.853954,10.0,22.5846554
Slovakia,9.390783348,23.295132,7.8,9.390783348
Slovenia,6.854712409,18.972822,9.5,6.854712409
Spain,6.171003738,21.848007,10.7,6.171003738
Sweden,8.448436456,8.6954651,11.3,8.448436456
Switzerland,5.841789359,19.034122,11.8,5.841789359
Tajikistan,36.31744416,35.74255,8.0,36.31744416
Türkiye,26.78287024,44.388168,4.6,26.78287024
Turkmenistan,21.07425028,12.09028,5.6,21.07425028
Ukraine,3.510019886,12.760069,8.0,3.510019886
United Kingdom of Great Britain and Northern Ireland,4.308400948,18.98419,12.4,4.308400948
Uzbekistan,30.02640973,31.747917,7.7,30.02640973
Bangladesh,28.47340899,20.300066,2.4,28.47340899
Bhutan,36.12477092,9.9078541,3.8,36.12477092
India,32.39841547,49.418007,3.3,32.39841547
Indonesia,57.29997632,18.998718,3.7,57.29997632
Maldives,30.35078606,24.620359,10.0,30.35078606
Myanmar,59.25715117,22.000977,5.6,59.25715117
Nepal,23.35892563,8.2337427,5.4,23.35892563
Sri Lanka,56.79189839,37.182419,4.1,56.79189839
Thailand,29.28231872,28.872009,5.2,29.28231872
Timor-Leste,34.76396671,26.925648,11.4,34.76396671
Australia,9.403350357,25.465837,10.5,9.403350357
Brunei Darussalam,70.80441846,32.532093,2.2,70.80441846
Cambodia,42.29442239,13.272564,7.5,42.29442239
China,12.38135444,23.834757,5.4,12.38135444
Cook Islands,,25.422981,3.8,
Fiji,263.3862863,15.530147,5.4,263.3862863
Japan,3.324918437,44.746857,10.8,3.324918437
Kiribati,235.7047679,31.895262,14.8,235.7047679
Lao People's Democratic Republic,55.14339479,15.83667,2.7,55.14339479
Malaysia,26.66457333,39.900253,4.4,26.66457333
Marshall Islands,,24.376348,12.5,
Micronesia (Federated States of),208.1655043,29.312151,11.0,208.1655043
Mongolia,11.6228301,27.461565,6.9,11.6228301
Nauru,,35.451496,13.1,
New Zealand,9.910942633,18.67824,10.0,9.910942633
Niue,,7.3570952,13.8,
Palau,,25.959799,16.4,
Papua New Guinea,102.7282214,12.471538,2.3,102.7282214
Philippines,66.4344486,45.463844,5.9,66.4344486
Republic of Korea,9.071409755,58.063519,9.3,9.071409755
Samoa,100.8783545,13.474737,6.8,100.8783545
Singapore,3.889654701,23.174879,5.6,3.889654701
Solomon Islands,98.92451937,17.460873,4.8,98.92451937
Tonga,113.3551022,30.665785,6.3,113.3551022
Tuvalu,,24.441936,20.0,
Vanuatu,101.0941936,7.5170069,4.4,101.0941936
Viet Nam,44.78948888,30.318979,4.6,44.78948888
