Country Name,Diabetes Rate,Inactivity Rate,che_gdp,Diabetes Mortality Rate,Cluster
Algeria,20.33360244,29.036757,5.5,20.33360244,3
Angola,50.00562837,17.329948,3.0,50.00562837,1
Benin,48.27183034,18.024012,2.6,48.27183034,1
Botswana,111.848291,22.275454,6.3,111.848291,1
Burkina Faso,47.81236779,16.943354,6.4,47.81236779,1
Burundi,43.79083801,14.274113,9.1,43.79083801,1
Cabo Verde,37.17277272,31.234873,6.9,37.17277272,2
Cameroon,74.17418685,18.814741,3.8,74.17418685,1
Central African Republic,70.55217799,16.53388,9.1,70.55217799,1
Chad,45.54606871,17.847639,5.2,45.54606871,1
Comoros,46.62466637,17.200766,6.3,46.62466637,1
Congo,60.7400596,15.971411,3.9,60.7400596,1
Côte d'Ivoire,53.53468325,19.677767,3.1,53.53468325,1
Democratic Republic of the Congo,44.34289023,14.868432,3.8,44.34289023,1
Equatorial Guinea,77.56513471,19.505293,3.4,77.56513471,1
Eritrea,60.99057083,11.818641,4.2,60.99057083,1
Eswatini,181.7890164,19.22184,7.0,181.7890164,1
Ethiopia,41.66220608,9.4297638,3.2,41.66220608,1
Gabon,77.15022674,20.818705,2.7,77.15022674,1
Gambia,47.74802952,21.154228,3.2,47.74802952,1
Ghana,55.71096489,21.162224,4.2,55.71096489,1
Guinea,54.4990385,16.701309,3.8,54.4990385,1
Guinea-Bissau,55.96020024,17.639141,8.2,55.96020024,1
Kenya,37.3921091,8.9172421,4.5,37.3921091,1
Lesotho,169.4473099,7.977572,10.2,169.4473099,1
Liberia,40.78357369,14.583702,16.6,40.78357369,1
Madagascar,35.16920585,13.590646,3.5,35.16920585,1
Malawi,43.72126835,2.6952345,7.4,43.72126835,1
Mali,45.2715015,29.820065,4.5,45.2715015,2
Mauritania,42.56316216,38.518417,4.1,42.56316216,2
Mauritius,140.8126183,29.87504,6.4,140.8126183,1
Mozambique,66.43094458,9.6848192,9.1,66.43094458,1
Namibia,68.44789538,25.378115,9.4,68.44789538,1
Niger,42.90926487,16.196146,5.8,42.90926487,1
Nigeria,40.35485275,18.051514,4.1,40.35485275,1
Rwanda,44.08548192,8.969945,7.3,44.08548192,1
Sao Tome and Principe,29.20486021,18.151239,7.8,29.20486021,2
Senegal,48.6215155,16.64044,4.4,48.6215155,1
Seychelles,43.44943822,20.439074,5.3,43.44943822,1
Sierra Leone,47.55066447,12.960729,8.6,47.55066447,1
South Africa,84.69729559,44.802898,8.3,84.69729559,2
South Sudan,35.11419743,16.257408,5.9,35.11419743,1
Togo,48.18447022,14.775393,5.6,48.18447022,1
