"Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Physical inactivity, adults aged 18+","","2022","Barbados","Region of the Americas","Females","","51.30912","20.956573","80.888329","",
"Physical inactivity, adults aged 18+","","2022","Belarus","European Region","Total","","14.017751","9.3219967","19.843279","",
"Physical inactivity, adults aged 18+","","2022","Belarus","European Region","Males","","14.608881","8.4657011","22.361727","",
"Physical inactivity, adults aged 18+","","2022","Belarus","European Region","Females","","13.529735","7.0306749","22.079163","",
"Physical inactivity, adults aged 18+","","2022","Belgium","European Region","Total","","25.410315","19.18606","32.29361","",
"Physical inactivity, adults aged 18+","","2022","Belgium","European Region","Males","","22.359768","14.652997","31.49468","",
"Physical inactivity, adults aged 18+","","2022","Belgium","European Region","Females","","28.406979","18.925819","39.567268","",
"Physical inactivity, adults aged 18+","","2022","Belize","Region of the Americas","Total","","41.519344","20.836145","63.746662","",
"Physical inactivity, adults aged 18+","","2022","Belize","Region of the Americas","Males","","35.16988","12.745513","64.818611","",
"Physical inactivity, adults aged 18+","","2022","Belize","Region of the Americas","Females","","47.855083","14.726381","82.120773","",
"Physical inactivity, adults aged 18+","","2022","Benin","African Region","Total","","18.024012","9.8262787","28.696684","",
"Physical inactivity, adults aged 18+","","2022","Benin","African Region","Males","","15.639967","6.5311236","28.821581","",
"Physical inactivity, adults aged 18+","","2022","Benin","African Region","Females","","20.294455","8.3473558","37.801952","",
"Physical inactivity, adults aged 18+","","2022","Bhutan","South-East Asia Region","Total","","9.9078541","5.9080482","14.987471","",
"Physical inactivity, adults aged 18+","","2022","Bhutan","South-East Asia Region","Males","","8.876421","4.2420444","15.376614","",
"Physical inactivity, adults aged 18+","","2022","Bhutan","South-East Asia Region","Females","","11.018431","5.0184331","19.020861","",
"Physical inactivity, adults aged 18+","","2022","Bolivia (Plurinational State of)","Region of the Americas","Total","","22.574299","14.675908","31.860607","",
"Physical inactivity, adults aged 18+","","2022","Bolivia (Plurinational State of)","Region of the Americas","Males","","18.34918","9.616291","29.3675","",
"Physical inactivity, adults aged 18+","","2022","Bolivia (Plurinational State of)","Region of the Americas","Females","","26.641787","14.175781","41.839497","",
"Physical inactivity, adults aged 18+","","2022","Bosnia and Herzegovina","European Region","Total","","21.074688","7.6701655","40.136459","",
"Physical inactivity, adults aged 18+","","2022","Bosnia and Herzegovina","European Region","Males","","18.427418","4.589406","40.554817","",
"Physical inactivity, adults aged 18+","","2022","Bosnia and Herzegovina","European Region","Females","","23.692265","4.3539777","57.127483","",
"Physical inactivity, adults aged 18+","","2022","Botswana","African Region","Total","","22.275454","12.387257","34.148388","",
"Physical inactivity, adults aged 18+","","2022","Botswana","African Region","Males","","17.271128","7.3451853","31.108055","",
"Physical inactivity, adults aged 18+","","2022","Botswana","African Region","Females","","26.786106","11.466539","47.036175","",
"Physical inactivity, adults aged 18+","","2022","Brazil","Region of the Americas","Total","","40.398304","31.426222","49.758972","",
"Physical inactivity, adults aged 18+","","2022","Brazil","Region of the Americas","Males","","35.562023","24.449993","47.799267","",
"Physical inactivity, adults aged 18+","","2022","Brazil","Region of the Americas","Females","","45.05875","31.643782","59.212883","",
"Physical inactivity, adults aged 18+","","2022","Brunei Darussalam","Western Pacific Region","Total","","32.532093","20.791929","45.691265","",
"Physical inactivity, adults aged 18+","","2022","Brunei Darussalam","Western Pacific Region","Males","","27.787956","13.94577","44.840004","",
"Physical inactivity, adults aged 18+","","2022","Brunei Darussalam","Western Pacific Region","Females","","37.430027","19.284681","57.799267","",
"Physical inactivity, adults aged 18+","","2022","Bulgaria","European Region","Total","","32.280933","24.565763","40.477417","",
"Physical inactivity, adults aged 18+","","2022","Bulgaria","European Region","Males","","32.446552","22.142342","43.895992","",
"Physical inactivity, adults aged 18+","","2022","Bulgaria","European Region","Females","","32.134411","20.974533","44.258881","",
