Country Name,Diabetes Rate,Inactivity Rate,che_gdp,Diabetes Mortality Rate
Algeria,20.33360244,0.4152023544868623,0.16836734693877548,0.06761721672565024
Angola,50.00562837,0.23067639702453305,0.040816326530612235,0.18144309876338036
Benin,48.27183034,0.24161642552761478,0.020408163265306117,0.17479201634300218
Botswana,111.848291,0.30862882879186554,0.2091836734693877,0.4186798697889954
Burkina Faso,47.81236779,0.22458279559999522,0.21428571428571427,0.17302945620840154
Burundi,43.79083801,0.18250948158054678,0.35204081632653056,0.15760232711956218
Cabo Verde,37.17277272,0.4498496661080962,0.23979591836734693,0.13221453860809748
Cameroon,74.17418685,0.2540801144643891,0.08163265306122447,0.2741569395053786
Central African Republic,70.55217799,0.2181285532948607,0.35204081632653056,0.2602624263969516
Chad,45.54606871,0.23883638557859851,0.1530612244897959,0.16433562814452535
Comoros,46.62466637,0.22864019465402383,0.2091836734693877,0.16847327382813881
Congo,60.7400596,0.20926276153487905,0.086734693877551,0.222621820627894
Côte d'Ivoire,53.53468325,0.26768336868719944,0.04591836734693877,0.19498102790321098
Democratic Republic of the Congo,44.34289023,0.1918773018390864,0.08163265306122447,0.15972007368060354
Equatorial Guinea,77.56513471,0.26496478585328137,0.06122448979591835,0.28716507154257154
Eritrea,60.99057083,0.14380565359275432,0.1020408163265306,0.2235828153972561
Eswatini,181.7890164,0.2604969213634302,0.24489795918367344,0.6869818987031928
Ethiopia,41.66220608,0.10615151123936595,0.0510204081632653,0.14943660875784578
Gabon,77.15022674,0.28566714862716047,0.02551020408163265,0.2855734287689655
Gambia,47.74802952,0.29095575484134173,0.0510204081632653,0.1727826459518721
Ghana,55.71096489,0.29108179000223555,0.1020408163265306,0.2033295369608639
Guinea,54.4990385,0.22076761544509824,0.08163265306122447,0.1986804243376817
Guinea-Bissau,55.96020024,0.2355499825050555,0.3061224489795918,0.2042856372829538
Kenya,37.3921091,0.09807300261991884,0.11734693877551018,0.13305594246017557
Lesotho,169.4473099,0.08326166291998674,0.40816326530612235,0.6396374527416194
Liberia,40.78357369,0.18738930892246422,0.7346938775510204,0.14606605674314319
Madagascar,35.16920585,0.17173648591888477,0.06632653061224489,0.12452858663645452
Malawi,43.72126835,0.0,0.2653061224489796,0.1573354485474267
Mali,45.2715015,0.42754907157158645,0.11734693877551018,0.16328235140061112
Mauritania,42.56316216,0.5646548987140954,0.09693877551020405,0.15289279744968598
Mauritius,140.8126183,0.4284156027084224,0.21428571428571427,0.5297909247041461
Mozambique,66.43094458,0.11017176491318409,0.35204081632653056,0.24445282077435992
Namibia,68.44789538,0.35753382858352767,0.36734693877551017,0.25219011530147833
Niger,42.90926487,0.21280509668789097,0.18367346938775508,0.15422049399236015
Nigeria,40.35485275,0.2420499196490384,0.09693877551020405,0.14442142555892043
Rwanda,44.08548192,0.09890372028888751,0.260204081632653,0.1587326207847779
Sao Tome and Principe,29.20486021,0.24362181264805555,0.2857142857142857,0.10164855462069355
Senegal,48.6215155,0.21980818145204564,0.11224489795918367,0.17613345564567756
Seychelles,43.44943822,0.27968329993215046,0.15816326530612243,0.15629267161050048
Sierra Leone,47.55066447,0.16180756015040268,0.32653061224489793,0.172025527076583
South Africa,84.69729559,0.6637126243230821,0.3112244897959184,0.3145249998776367
South Sudan,35.11419743,0.21377072525550986,0.18877551020408162,0.12431756693929016
Togo,48.18447022,0.19041079541907582,0.173469387755102,0.17445689117368005
Uganda,48.57970356,0.044991871275920865,0.12755102040816327,0.17597305942057864
United Republic of Tanzania,37.59562032,0.025285027074113196,0.06122448979591835,0.13383663887017883
Zambia,52.94645319,0.179591190706543,0.2244897959183673,0.19272449828239693
Zimbabwe,67.70822938,0.23648963484141455,0.030612244897959162,0.24935265704830947
Antigua and Barbuda,61.53434375,0.5583424538461045,0.18877551020408162,0.2256688014500201
Argentina,17.01825395,0.5644587056616133,0.3826530612244897,0.054899094039084266
Bahamas,50.66210301,0.5433596852059065,0.24999999999999994,0.18396142377124078
Barbados,45.8829614,0.6515718256152861,0.30102040816326525,0.16562799381183027
Belize,66.56144789,0.6119563390937544,0.14285714285714285,0.24495344902281982
Bolivia (Plurinational State of),67.15958231,0.31333930623775447,0.3061224489795918,0.24724797310062444
Brazil,29.24427617,0.5942861969266131,0.39285714285714285,0.10179975954427876
Canada,8.504999179,0.5435649573295085,0.5153061224489797,0.02224110379578075
Chile,15.40407039,0.5598555220301572,0.3622448979591837,0.04870686881249344
Colombia,13.00473344,0.5001978914377478,0.346938775510204,0.0395026895871261
Costa Rica,26.31913312,0.740252488179731,0.2755102040816326,0.0905785174040126
Cuba,12.17146286,0.9202069599481427,0.5918367346938775,0.03630615157626197
Dominica,,0.4385160535670554,0.21938775510204078,
Dominican Republic,34.06017146,0.5411082331909293,0.1377551020408163,0.12027418156314629
Ecuador,38.76384394,0.31654598371802567,0.3112244897959184,0.1383181017900857
El Salvador,33.29708022,0.5758891616279331,0.3826530612244897,0.11734686093889306
Grenada,80.5039734,0.5229014485665853,0.17857142857142855,0.2984388519997949
Guatemala,83.60253134,0.5380430694268292,0.23979591836734693,0.3103253369805497
Guyana,96.86696319,0.5104857872855443,0.1377551020408163,0.3612094814814173
Haiti,79.89386167,0.40358393337626286,0.06632653061224489,0.2960983813500102
Honduras,35.45436146,0.537176144233087,0.3571428571428571,0.12562248190679537
Jamaica,70.17013996,0.5661683924796068,0.25510204081632654,0.25879687713384103
Mexico,94.5635754,0.3987031130109417,0.19897959183673466,0.35237337613794617
Nicaragua,71.01556848,0.5682745163075603,0.3826530612244897,0.2620400546376581
